# box_length 50 A CH4:20, O2:100
300 atoms
3 atom types
  -25.14    24.71 xlo xhi
  -25.15    24.75 ylo yhi
  -25.15    25.25 zlo zhi

Masses

1 12.0107  # C
2  1.0080  # H
3 15.9994  # O

Atoms  # charge

     1   1 0.0             9.909275       12.894617      -20.107721
     2   2 0.0            10.448222       12.476078      -19.256567
     3   2 0.0            10.340643       13.861254      -20.371610
     4   2 0.0             9.989583       12.216194      -20.958248
     5   2 0.0             8.858650       13.024942      -19.844459
     6   1 0.0            19.554711      -22.797728        8.120541
     7   2 0.0            19.260525      -21.968270        8.765179
     8   2 0.0            19.891432      -23.633996        8.734851
     9   2 0.0            18.700985      -23.110103        7.517486
    10   2 0.0            20.365901      -22.478541        7.464650
    11   1 0.0            -8.127051        9.199906       15.496758
    12   2 0.0            -7.654088        8.759230       14.618001
    13   2 0.0            -7.514560       10.024415       15.864375
    14   2 0.0            -9.116353        9.573290       15.228489
    15   2 0.0            -8.223203        8.442689       16.276168
    16   1 0.0            -0.210517      -13.080974       24.079122
    17   2 0.0            -0.347968      -13.440593       25.099850
    18   2 0.0             0.176777      -12.061372       24.101852
    19   2 0.0             0.497238      -13.727273       23.558081
    20   2 0.0            -1.168117      -13.094660       23.556706
    21   1 0.0             8.699109      -19.663060       21.792032
    22   2 0.0             9.262430      -20.017423       22.656438
    23   2 0.0             7.671451      -19.450376       22.090004
    24   2 0.0             9.161045      -18.753781       21.404824
    25   2 0.0             8.701508      -20.430659       21.016862
    26   1 0.0             8.759632      -23.937367        6.265325
    27   2 0.0             8.090208      -24.550109        5.659915
    28   2 0.0             9.140741      -24.529530        7.098513
    29   2 0.0             9.593669      -23.594525        5.651367
    30   2 0.0             8.213908      -23.075304        6.651506
    31   1 0.0           -16.293379        7.893392       -9.848238
    32   2 0.0           -16.958619        8.499317      -10.465015
    33   2 0.0           -15.589112        7.360234      -10.488436
    34   2 0.0           -15.743900        8.539926       -9.162550
    35   2 0.0           -16.881886        7.174090       -9.276952
    36   1 0.0            15.762121      -10.950313       -2.318494
    37   2 0.0            16.430137      -10.643398       -1.512479
    38   2 0.0            14.857302      -11.387773       -1.894189
    39   2 0.0            15.497231      -10.081078       -2.922121
    40   2 0.0            16.263813      -11.689005       -2.945186
    41   1 0.0            13.404890       10.696227       -1.916777
    42   2 0.0            13.780001       11.695886       -2.140556
    43   2 0.0            13.548544       10.482807       -0.856626
    44   2 0.0            12.342108       10.644321       -2.157408
    45   2 0.0            13.948907        9.961895       -2.512515
    46   1 0.0            18.916717       -8.533787       -9.815759
    47   2 0.0            17.978133       -8.253172      -10.295777
    48   2 0.0            18.707599       -8.989929       -8.847096
    49   2 0.0            19.448602       -9.247455      -10.446534
    50   2 0.0            19.532535       -7.644590       -9.673626
    51   1 0.0             9.201967       10.585403        8.373362
    52   2 0.0             9.157065       11.289857        7.541598
    53   2 0.0             9.622318       11.082591        9.248698
    54   2 0.0             8.196437       10.230936        8.604372
    55   2 0.0             9.832048        9.738228        8.098781
    56   1 0.0            -4.674541      -10.315103      -22.422221
    57   2 0.0            -5.452233      -10.010574      -21.720395
    58   2 0.0            -3.953941      -10.955198      -21.911225
