H: 10276, Al1: 6879, O: 5138, O1: 5000, , water number: 5139 lammps data format
27293 atoms
3 atom types
-21.435529 21.438146 xlo xhi
-21.489091 21.435550 ylo yhi
-291.449073 291.409617 zlo zhi

Masses

1 26.9815  # Al
2  1.0080  # H
3 15.9994  # O

Atoms  # charge

122 1 0.0 14.780245  8.351958  -13.395876 
123 1 0.0 14.780245  6.327168  -15.420666 
124 1 0.0 14.780245  4.302378  -17.445456 
125 1 0.0 14.780245  2.277588  -19.470246 
126 1 0.0 12.755455  18.475908  -5.296716 
127 1 0.0 12.755455  16.451118  -7.321506 
128 1 0.0 12.755455  14.426328  -9.346296 
129 1 0.0 12.755455  12.401538  -11.371086 
130 1 0.0 12.755455  10.376748  -13.395876 
131 1 0.0 12.755455  8.351958  -15.420666 
132 1 0.0 12.755455  6.327168  -17.445456 
133 1 0.0 12.755455  4.302378  -19.470246 
134 1 0.0 10.730665  18.475908  -7.321506 
135 1 0.0 10.730665  16.451118  -9.346296 
136 1 0.0 10.730665  14.426328  -11.371086 
137 1 0.0 10.730665  12.401538  -13.395876 
138 1 0.0 10.730665  10.376748  -15.420666 
139 1 0.0 10.730665  8.351958  -17.445456 
140 1 0.0 10.730665  6.327168  -19.470246 
141 1 0.0 8.705875  18.475908  -9.346296 
142 1 0.0 8.705875  16.451118  -11.371086 
143 1 0.0 8.705875  14.426328  -13.395876 
144 1 0.0 8.705875  12.401538  -15.420666 
145 1 0.0 8.705875  10.376748  -17.445456 
146 1 0.0 8.705875  8.351958  -19.470246 
147 1 0.0 6.681085  18.475908  -11.371086 
148 1 0.0 6.681085  16.451118  -13.395876 
149 1 0.0 6.681085  14.426328  -15.420666 
150 1 0.0 6.681085  12.401538  -17.445456 
151 1 0.0 6.681085  10.376748  -19.470246 
152 1 0.0 4.656295  18.475908  -13.395876 
153 1 0.0 4.656295  16.451118  -15.420666 
154 1 0.0 4.656295  14.426328  -17.445456 
155 1 0.0 4.656295  12.401538  -19.470246 
156 1 0.0 2.631505  18.475908  -15.420666 
157 1 0.0 2.631505  16.451118  -17.445456 
158 1 0.0 2.631505  14.426328  -19.470246 
159 1 0.0 0.606715  18.475908  -17.445456 
160 1 0.0 0.606715  16.451118  -19.470246 
161 1 0.0 -1.418075  18.475908  -19.470246 
162 1 0.0 18.829825  18.475908  4.827234 
163 1 0.0 18.829825  16.451118  2.802444 
164 1 0.0 18.829825  14.426328  0.777654 
165 1 0.0 18.829825  12.401538  -1.247136 
166 1 0.0 18.829825  10.376748  -3.271926 
167 1 0.0 18.829825  8.351958  -5.296716 
168 1 0.0 18.829825  6.327168  -7.321506 
169 1 0.0 18.829825  4.302378  -9.346296 
170 1 0.0 18.829825  2.277588  -11.371086 
171 1 0.0 18.829825  0.252798  -13.395876 
172 1 0.0 18.829825  -1.771992  -15.420666 
173 1 0.0 18.829825  -3.796782  -17.445456 
174 1 0.0 18.829825  -5.821572  -19.470246 
175 1 0.0 16.805035  18.475908  2.802444 
176 1 0.0 16.805035  16.451118  0.777654 
177 1 0.0 16.805035  14.426328  -1.247136 
178 1 0.0 16.805035  12.401538  -3.271926 
179 1 0.0 16.805035  10.376748  -5.296716 
180 1 0.0 16.805035  8.351958  -7.321506 
181 1 0.0 16.805035  6.327168  -9.346296 
182 1 0.0 16.805035  4.302378  -11.371086 
183 1 0.0 16.805035  2.277588  -13.395876 
184 1 0.0 16.805035  0.252798  -15.420666 
185 1 0.0 16.805035  -1.771992  -17.445456 
186 1 0.0 16.805035  -3.796782  -19.470246 
187 1 0.0 14.780245  18.475908  0.777654 
188 1 0.0 14.780245  16.451118  -1.247136 
189 1 0.0 14.780245  14.426328  -3.271926 
190 1 0.0 14.780245  12.401538  -5.296716 
191 1 0.0 14.780245  10.376748  -7.321506 
192 1 0.0 14.780245  8.351958  -9.346296 
193 1 0.0 14.780245  6.327168  -11.371086 
194 1 0.0 14.780245  4.302378  -13.395876 
195 1 0.0 14.780245  2.277588  -15.420666 
196 1 0.0 14.780245  0.252798  -17.445456 
197 1 0.0 14.780245  -1.771992  -19.470246 
198 1 0.0 12.755455  18.475908  -1.247136 
199 1 0.0 12.755455  16.451118  -3.271926 
200 1 0.0 12.755455  14.426328  -5.296716 
201 1 0.0 12.755455  12.401538  -7.321506 
202 1 0.0 12.755455  10.376748  -9.346296 
203 1 0.0 12.755455  8.351958  -11.371086 
204 1 0.0 12.755455  6.327168  -13.395876 
205 1 0.0 12.755455  4.302378  -15.420666 
206 1 0.0 12.755455  2.277588  -17.445456 
207 1 0.0 12.755455  0.252798  -19.470246 
208 1 0.0 10.730665  18.475908  -3.271926 
209 1 0.0 10.730665  16.451118  -5.296716 
210 1 0.0 10.730665  14.426328  -7.321506 
211 1 0.0 10.730665  12.401538  -9.346296 
212 1 0.0 10.730665  10.376748  -11.371086 
213 1 0.0 10.730665  8.351958  -13.395876 
214 1 0.0 10.730665  6.327168  -15.420666 
215 1 0.0 10.730665  4.302378  -17.445456 
216 1 0.0 10.730665  2.277588  -19.470246 
217 1 0.0 8.705875  18.475908  -5.296716 
218 1 0.0 8.705875  16.451118  -7.321506 
219 1 0.0 8.705875  14.426328  -9.346296 
220 1 0.0 8.705875  12.401538  -11.371086 
221 1 0.0 8.705875  10.376748  -13.395876 
222 1 0.0 8.705875  8.351958  -15.420666 
223 1 0.0 8.705875  6.327168  -17.445456 
224 1 0.0 8.705875  4.302378  -19.470246 
225 1 0.0 6.681085  18.475908  -7.321506 
226 1 0.0 6.681085  16.451118  -9.346296 
227 1 0.0 6.681085  14.426328  -11.371086 
228 1 0.0 6.681085  12.401538  -13.395876 
229 1 0.0 6.681085  10.376748  -15.420666 
230 1 0.0 6.681085  8.351958  -17.445456 
231 1 0.0 6.681085  6.327168  -19.470246 
232 1 0.0 4.656295  18.475908  -9.346296 
233 1 0.0 4.656295  16.451118  -11.371086 
234 1 0.0 4.656295  14.426328  -13.395876 
235 1 0.0 4.656295  12.401538  -15.420666 
236 1 0.0 4.656295  10.376748  -17.445456 
237 1 0.0 4.656295  8.351958  -19.470246 
238 1 0.0 2.631505  18.475908  -11.371086 
239 1 0.0 2.631505  16.451118  -13.395876 
240 1 0.0 2.631505  14.426328  -15.420666 
241 1 0.0 2.631505  12.401538  -17.445456 
242 1 0.0 2.631505  10.376748  -19.470246 
243 1 0.0 0.606715  18.475908  -13.395876 
244 1 0.0 0.606715  16.451118  -15.420666 
245 1 0.0 0.606715  14.426328  -17.445456 
246 1 0.0 0.606715  12.401538  -19.470246 
247 1 0.0 -1.418075  18.475908  -15.420666 
248 1 0.0 -1.418075  16.451118  -17.445456 
249 1 0.0 -1.418075  14.426328  -19.470246 
250 1 0.0 -3.442865  18.475908  -17.445456 
251 1 0.0 -3.442865  16.451118  -19.470246 
252 1 0.0 -5.467655  18.475908  -19.470246 
253 1 0.0 18.829825  18.475908  8.876814 
254 1 0.0 18.829825  16.451118  6.852024 
255 1 0.0 18.829825  14.426328  4.827234 
256 1 0.0 18.829825  12.401538  2.802444 
257 1 0.0 18.829825  10.376748  0.777654 
258 1 0.0 18.829825  8.351958  -1.247136 
259 1 0.0 18.829825  6.327168  -3.271926 
260 1 0.0 18.829825  4.302378  -5.296716 
261 1 0.0 18.829825  2.277588  -7.321506 
262 1 0.0 18.829825  0.252798  -9.346296 
263 1 0.0 18.829825  -1.771992  -11.371086 
264 1 0.0 18.829825  -3.796782  -13.395876 
265 1 0.0 18.829825  -5.821572  -15.420666 
266 1 0.0 18.829825  -7.846362  -17.445456 
267 1 0.0 18.829825  -9.871152  -19.470246 
268 1 0.0 16.805035  18.475908  6.852024 
269 1 0.0 16.805035  16.451118  4.827234 
270 1 0.0 16.805035  14.426328  2.802444 
271 1 0.0 16.805035  12.401538  0.777654 
272 1 0.0 16.805035  10.376748  -1.247136 
273 1 0.0 16.805035  8.351958  -3.271926 
274 1 0.0 16.805035  6.327168  -5.296716 
275 1 0.0 16.805035  4.302378  -7.321506 
276 1 0.0 16.805035  2.277588  -9.346296 
277 1 0.0 16.805035  0.252798  -11.371086 
278 1 0.0 16.805035  -1.771992  -13.395876 
279 1 0.0 16.805035  -3.796782  -15.420666 
280 1 0.0 16.805035  -5.821572  -17.445456 
281 1 0.0 16.805035  -7.846362  -19.470246 
282 1 0.0 14.780245  18.475908  4.827234 
283 1 0.0 14.780245  16.451118  2.802444 
284 1 0.0 14.780245  14.426328  0.777654 
285 1 0.0 14.780245  12.401538  -1.247136 
286 1 0.0 14.780245  10.376748  -3.271926 
287 1 0.0 14.780245  8.351958  -5.296716 
288 1 0.0 14.780245  6.327168  -7.321506 
289 1 0.0 14.780245  4.302378  -9.346296 
290 1 0.0 14.780245  2.277588  -11.371086 
291 1 0.0 14.780245  0.252798  -13.395876 
292 1 0.0 14.780245  -1.771992  -15.420666 
293 1 0.0 14.780245  -3.796782  -17.445456 
294 1 0.0 14.780245  -5.821572  -19.470246 
295 1 0.0 12.755455  18.475908  2.802444 
296 1 0.0 12.755455  16.451118  0.777654 
297 1 0.0 12.755455  14.426328  -1.247136 
298 1 0.0 12.755455  12.401538  -3.271926 
299 1 0.0 12.755455  10.376748  -5.296716 
300 1 0.0 12.755455  8.351958  -7.321506 
301 1 0.0 12.755455  6.327168  -9.346296 
302 1 0.0 12.755455  4.302378  -11.371086 
303 1 0.0 12.755455  2.277588  -13.395876 
304 1 0.0 12.755455  0.252798  -15.420666 
305 1 0.0 12.755455  -1.771992  -17.445456 
306 1 0.0 12.755455  -3.796782  -19.470246 
307 1 0.0 10.730665  18.475908  0.777654 
308 1 0.0 10.730665  16.451118  -1.247136 
309 1 0.0 10.730665  14.426328  -3.271926 
310 1 0.0 10.730665  12.401538  -5.296716 
311 1 0.0 10.730665  10.376748  -7.321506 
312 1 0.0 10.730665  8.351958  -9.346296 
313 1 0.0 10.730665  6.327168  -11.371086 
314 1 0.0 10.730665  4.302378  -13.395876 
315 1 0.0 10.730665  2.277588  -15.420666 
316 1 0.0 10.730665  0.252798  -17.445456 
317 1 0.0 10.730665  -1.771992  -19.470246 
318 1 0.0 8.705875  18.475908  -1.247136 
319 1 0.0 8.705875  16.451118  -3.271926 
320 1 0.0 8.705875  14.426328  -5.296716 
321 1 0.0 8.705875  12.401538  -7.321506 
322 1 0.0 8.705875  10.376748  -9.346296 
323 1 0.0 8.705875  8.351958  -11.371086 
324 1 0.0 8.705875  6.327168  -13.395876 
325 1 0.0 8.705875  4.302378  -15.420666 
326 1 0.0 8.705875  2.277588  -17.445456 
327 1 0.0 8.705875  0.252798  -19.470246 
328 1 0.0 6.681085  18.475908  -3.271926 
329 1 0.0 6.681085  16.451118  -5.296716 
330 1 0.0 6.681085  14.426328  -7.321506 
331 1 0.0 6.681085  12.401538  -9.346296 
332 1 0.0 6.681085  10.376748  -11.371086 
333 1 0.0 6.681085  8.351958  -13.395876 
334 1 0.0 6.681085  6.327168  -15.420666 
335 1 0.0 6.681085  4.302378  -17.445456 
336 1 0.0 6.681085  2.277588  -19.470246 
337 1 0.0 4.656295  18.475908  -5.296716 
338 1 0.0 4.656295  16.451118  -7.321506 
339 1 0.0 4.656295  14.426328  -9.346296 
340 1 0.0 4.656295  12.401538  -11.371086 
341 1 0.0 4.656295  10.376748  -13.395876 
342 1 0.0 4.656295  8.351958  -15.420666 
343 1 0.0 4.656295  6.327168  -17.445456 
344 1 0.0 4.656295  4.302378  -19.470246 
345 1 0.0 2.631505  18.475908  -7.321506 
346 1 0.0 2.631505  16.451118  -9.346296 
347 1 0.0 2.631505  14.426328  -11.371086 
348 1 0.0 2.631505  12.401538  -13.395876 
349 1 0.0 2.631505  10.376748  -15.420666 
350 1 0.0 2.631505  8.351958  -17.445456 
351 1 0.0 2.631505  6.327168  -19.470246 
352 1 0.0 0.606715  18.475908  -9.346296 
353 1 0.0 0.606715  16.451118  -11.371086 
354 1 0.0 0.606715  14.426328  -13.395876 
355 1 0.0 0.606715  12.401538  -15.420666 
356 1 0.0 0.606715  10.376748  -17.445456 
357 1 0.0 0.606715  8.351958  -19.470246 
358 1 0.0 -1.418075  18.475908  -11.371086 
359 1 0.0 -1.418075  16.451118  -13.395876 
360 1 0.0 -1.418075  14.426328  -15.420666 
361 1 0.0 -1.418075  12.401538  -17.445456 
362 1 0.0 -1.418075  10.376748  -19.470246 
363 1 0.0 -3.442865  18.475908  -13.395876 
364 1 0.0 -3.442865  16.451118  -15.420666 
365 1 0.0 -3.442865  14.426328  -17.445456 
366 1 0.0 -3.442865  12.401538  -19.470246 
367 1 0.0 -5.467655  18.475908  -15.420666 
368 1 0.0 -5.467655  16.451118  -17.445456 
369 1 0.0 -5.467655  14.426328  -19.470246 
370 1 0.0 -7.492445  18.475908  -17.445456 
371 1 0.0 -7.492445  16.451118  -19.470246 
372 1 0.0 -9.517235  18.475908  -19.470246 
373 1 0.0 18.829825  18.475908  12.926394 
374 1 0.0 18.829825  16.451118  10.901604 
375 1 0.0 18.829825  14.426328  8.876814 
376 1 0.0 18.829825  12.401538  6.852024 
377 1 0.0 18.829825  10.376748  4.827234 
378 1 0.0 18.829825  8.351958  2.802444 
379 1 0.0 18.829825  6.327168  0.777654 
380 1 0.0 18.829825  4.302378  -1.247136 
381 1 0.0 18.829825  2.277588  -3.271926 
382 1 0.0 18.829825  0.252798  -5.296716 
383 1 0.0 18.829825  -1.771992  -7.321506 
384 1 0.0 18.829825  -3.796782  -9.346296 
385 1 0.0 18.829825  -5.821572  -11.371086 
386 1 0.0 18.829825  -7.846362  -13.395876 
387 1 0.0 18.829825  -9.871152  -15.420666 
388 1 0.0 18.829825  -11.895942  -17.445456 
389 1 0.0 18.829825  -13.920732  -19.470246 
390 1 0.0 16.805035  18.475908  10.901604 
391 1 0.0 16.805035  16.451118  8.876814 
392 1 0.0 16.805035  14.426328  6.852024 
393 1 0.0 16.805035  12.401538  4.827234 
394 1 0.0 16.805035  10.376748  2.802444 
395 1 0.0 16.805035  8.351958  0.777654 
396 1 0.0 16.805035  6.327168  -1.247136 
397 1 0.0 16.805035  4.302378  -3.271926 
398 1 0.0 16.805035  2.277588  -5.296716 
399 1 0.0 16.805035  0.252798  -7.321506 
400 1 0.0 16.805035  -1.771992  -9.346296 
401 1 0.0 16.805035  -3.796782  -11.371086 
402 1 0.0 16.805035  -5.821572  -13.395876 
403 1 0.0 16.805035  -7.846362  -15.420666 
404 1 0.0 16.805035  -9.871152  -17.445456 
405 1 0.0 16.805035  -11.895942  -19.470246 
406 1 0.0 14.780245  18.475908  8.876814 
407 1 0.0 14.780245  16.451118  6.852024 
408 1 0.0 14.780245  14.426328  4.827234 
409 1 0.0 14.780245  12.401538  2.802444 
410 1 0.0 14.780245  10.376748  0.777654 
411 1 0.0 14.780245  8.351958  -1.247136 
412 1 0.0 14.780245  6.327168  -3.271926 
413 1 0.0 14.780245  4.302378  -5.296716 
414 1 0.0 14.780245  2.277588  -7.321506 
415 1 0.0 14.780245  0.252798  -9.346296 
416 1 0.0 14.780245  -1.771992  -11.371086 
417 1 0.0 14.780245  -3.796782  -13.395876 
418 1 0.0 14.780245  -5.821572  -15.420666 
419 1 0.0 14.780245  -7.846362  -17.445456 
420 1 0.0 14.780245  -9.871152  -19.470246 
421 1 0.0 12.755455  18.475908  6.852024 
422 1 0.0 12.755455  16.451118  4.827234 
423 1 0.0 12.755455  14.426328  2.802444 
424 1 0.0 12.755455  12.401538  0.777654 
425 1 0.0 12.755455  10.376748  -1.247136 
426 1 0.0 12.755455  8.351958  -3.271926 
427 1 0.0 12.755455  6.327168  -5.296716 
428 1 0.0 12.755455  4.302378  -7.321506 
429 1 0.0 12.755455  2.277588  -9.346296 
430 1 0.0 12.755455  0.252798  -11.371086 
431 1 0.0 12.755455  -1.771992  -13.395876 
432 1 0.0 12.755455  -3.796782  -15.420666 
433 1 0.0 12.755455  -5.821572  -17.445456 
